,Energiewende,Verkehrswende,Geo_Engineering,Oekologie,Tipping_Points,Klimawandel,Landwirtschaft,Klimaextreme,Gesundheit,Wasserversorgung,Waermewende,Industrie,Urbane_Hitzeinsel,Invalid
2026-06-22,0.9,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-06-23,0.0,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-06-24,2.7,0.0,0.0,0.0,0,9.000000000000002,1.8,0.0,2.7,0.0,0.0,0.0,0,0
2026-06-25,2.7,0.0,0.0,0.0,0,6.300000000000001,1.8,0.0,0.9,0.0,0.0,0.0,0,0
2026-06-26,4.5,0.0,0.0,0.0,0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-06-27,0.0,0.0,0.0,0.0,0,2.7,0.9,0.0,0.0,0.0,0.0,0.0,0,0
2026-06-28,0.0,0.0,0.0,0.0,0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-06-29,2.7,0.0,0.0,0.0,0,2.7,0.0,0.0,0.9,0.0,0.0,0.0,0,0
2026-06-30,0.9,0.0,0.0,0.0,0,3.6,0.0,0.0,2.7,0.0,0.0,0.0,0,0
2026-07-01,8.100000000000001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-02,0.9,0.0,0.0,0.0,0,3.6,0.0,0.0,0.0,0.0,0.9,0.0,0,0
2026-07-03,2.7,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-04,1.8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-05,0.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-06,0.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0,0
2026-07-07,4.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-08,2.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-09,0.9,0.0,0.0,0.0,0,6.300000000000001,0.0,0.0,0.0,0.0,0.9,0.0,0,0
2026-07-10,1.8,0.0,0.0,0.0,0,1.8,0.9,0.0,0.0,0.9,0.0,0.0,0,0
2026-07-12,1.8,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.9,0.9,0.0,0,0
2026-07-13,1.8,0.0,0.0,0.0,0,1.8,0.9,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-14,1.8,0.0,0.0,0.0,0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-15,0.9,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0,0
2026-07-16,3.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0,0
2026-07-17,5.4,0.0,0.0,0.0,0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-18,1.8,0.0,0.0,0.0,0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-19,0.9,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-20,0.9,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-22,0.9,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-23,1.8,0.0,0.0,0.0,0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-24,0.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-26,1.8,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-27,2.7,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-28,2.7,0.0,0.0,0.0,0,1.8,0.0,0.0,0.0,1.8,0.0,0.0,0,0
2026-07-29,4.5,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-30,0.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-31,2.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-02,1.7000000000000002,0.0,0.0,0.9,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-03,0.9,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-04,2.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-05,2.7,0.0,0.0,0.0,0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-06,2.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-07,1.7000000000000002,0.0,0.0,0.0,0,1.8,0.0,0.0,0.0,0.0,0.0,0.9,0,0
2026-08-08,1.8,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0,0
2026-08-09,0.9,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-10,2.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-13,2.7,0.0,0.0,0.0,0,6.300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-14,0.9,0.0,0.0,0.0,0,1.8,0.0,0.0,0.0,0.0,0.0,0.9,0,0
2026-08-15,0.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-16,0.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-17,0.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-18,0.9,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-19,0.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-20,0.9,0.0,0.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-21,0.0,1.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-23,0.9,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-25,0.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-27,0.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-28,0.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-29,0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-08-31,2.7,0.0,0.0,0.0,0,6.300000000000001,0.0,0.9,0.0,0.0,0.0,0.0,0,0
2026-09-01,0.9,2.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026-09-04,0.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
